var,len,start,description
N63_7,1,247,"Tipo de asistencia: Ortodoncia"
N63_8,1,248,"Tipo de asistencia: Aplicación de flúor"
N63_9,1,249,"Tipo de asistencia: Implantes"
N63_10,1,250,"Tipo de asistencia: Otro tipo"
N64,1,251,"Dependencia funcional del dentista consultado en la última visita"
N65_1,1,252,"Estado de dientes y muelas: Tiene caries"
N65_2,1,253,"Estado de dientes y muelas: Le han extraído dientes/muelas"
N65_3,1,254,"Estado de dientes y muelas: Tiene dientes/muelas empastados (obturados)"
N65_4,1,255,"Estado de dientes y muelas: Le sangran las encías al cepillarse o espontáneamente"
N65_5,1,256,"Estado de dientes y muelas: Se le mueven los dientes/muelas"
N65_6,1,257,"Estado de dientes y muelas: Lleva fundas (coronas), puentes, otras prótesis o dentadura postiza"
N65_7,1,258,"Estado de dientes y muelas: Le faltan dientes/muelas que no han sido sustituidos por prótesis"
N65_8,1,259,"Estado de dientes y muelas: Tiene o conserva todos sus dientes/muelas naturales"
O66,1,260,"Ingreso en hospital en los últimos 12 meses, excluyendo parto o cesárea (doble enunciado)"
O67,2,261,"Número de veces ingresado en un hospital en los últimos 12 meses, excluyendo parto o cesárea (doble enunciado) 00 a 89"
O68,3,263,"Número total de noches ingresado en un hospital en los últimos 12 meses, excluyendo parto o cesárea 000 a 365"
O69,1,266,"Ingreso en hospital en los últimos 12 meses debido a parto o cesárea"
O71,1,267,"Motivo del último ingreso en el hospital"
O74,1,268,"¿A cargo de quién corrieron los gastos de hospitalización?"
O75,1,269,"Ingreso en hospital de día en los últimos 12 meses"
O76,3,270,"Número de ingresos en un hospital de día en los últimos 12 meses 001 a 365"
O78,1,273,"Utilización del servicio de urgencias en los últimos 12 meses"
O79,3,274,"Número de veces que utilizó el servicio de urgencias en los últimos 12 meses 001 a 200"
O80_1,1,277,"Lugar de atención del último servicio de urgencias: Lugar donde se encontraba"
O80_2,1,278,"Lugar de atención del último servicio de urgencias: Unidad móvil"
O80_3,1,279,"Lugar de atención del último servicio de urgencias: Centro o servicio de urgencias"
O81_1,2,280,"Tiempo desde que se sintió enfermo hasta que pidió asistencia urgente (último servicio de urgencias utilizado): Días 00 a 30"
O81_2,2,282,"Tiempo desde que se sintió enfermo hasta que pidió asistencia urgente (último servicio de urgencias utilizado): Horas 00 a 23"
O81_3,2,284,"Tiempo desde que se sintió enfermo hasta que pidió asistencia urgente (último servicio de urgencias utilizado): Minutos 00 a 59"
O82_1,2,286,"Tiempo desde que pidió asistencia urgente hasta que fue atendido (último servicio de urgencias utilizado): Horas 00 a 48"
O82_2,2,288,"Tiempo desde que pidió asistencia urgente hasta que fue atendido (último servicio de urgencias utilizado): Minutos 00 a 59"
O83,1,290,"Tipo de servicio de urgencias utilizado la última vez"
O84_1,1,291,"Modalidad de seguro sanitario: Sanidad Pública (Seguridad Social)"
O84_2,1,292,"Modalidad de seguro sanitario: Mutualidades del Estado (MUFACE, ISFAS, MUGEJU) acogidas a la Seguridad Social"
O84_3,1,293,"Modalidad de seguro sanitario: Mutualidades del Estado (MUFACE, ISFAS, MUGEJU) acogidas a un seguro privado"
O84_4,1,294,"Modalidad de seguro sanitario: Seguro médico privado, concertado individualmente (sociedades médicas, Colegios Profesionales...)"
O84_5,1,295,"Modalidad de seguro sanitario: Seguro médico concertado por la empresa"
O84_6,1,296,"Modalidad de seguro sanitario: No tiene seguro médico"
O84_7,1,297,"Modalidad de seguro sanitario: Otras situaciones"
O84_8,1,298,"Modalidad de seguro sanitario: No sabe"
O84_9,1,299,"Modalidad de seguro sanitario: No contesta"
P85,1,300,"Consumo de medicamentos recetados por un médico durante las dos últimas semanas"
P86,1,301,"Consumo de medicamentos no recetados por un médico durante las dos últimas semanas"
P87_1a,1,302,"Medicinas para el catarro, gripe, garganta, bronquios consumidas"
P87_1b,1,303,"Medicinas para el catarro, gripe, garganta, bronquios recetadas"
P87_2a,1,304,"Medicinas para el dolor consumidas"
P87_2b,1,305,"Medicinas para el dolor recetadas"
P87_3a,1,306,"Medicinas para bajar la fiebre consumidas"
P87_3b,1,307,"Medicinas para bajar la fiebre recetadas"
P87_4a,1,308,"Reconstituyentes como vitaminas, minerales, tónicos consumidos"
P87_4b,1,309,"Reconstituyentes como vitaminas, minerales, tónicos recetados"
P87_5a,1,310,"Laxantes consumidos"
P87_5b,1,311,"Laxantes recetados"
P87_6a,1,312,"Antibióticos consumidos"
P87_6b,1,313,"Antibióticos recetados"
P87_7a,1,314,"Tranquilizantes, relajantes, pastillas para dormir consumidos"
P87_7b,1,315,"Tranquilizantes, relajantes, pastillas para dormir recetados"
P87_8a,1,316,"Medicamentos para la alergia consumidos"
P87_8b,1,317,"Medicamentos para la alergia recetados"
P87_9a,1,318,"Medicamentos para la diarrea consumidos"
P87_9b,1,319,"Medicamentos para la diarrea recetados"
P87_10a,1,320,"Medicinas para el reuma consumidas"
P87_10b,1,321,"Medicinas para el reuma recetadas"
P87_11a,1,322,"Medicinas para el corazón consumidas"
P87_11b,1,323,"Medicinas para el corazón recetadas"
P87_12a,1,324,"Medicinas para la tensión arterial consumidas"
P87_12b,1,325,"Medicinas para la tensión arterial recetadas"
P87_13a,1,326,"Medicinas para el estómago y/o las alteraciones digestivas consumidas"
P87_13b,1,327,"Medicinas para el estómago y/o las alteraciones digestivas recetadas"
P87_14a,1,328,"Antidepresivos, estimulantes consumidos"
P87_14b,1,329,"Antidepresivos, estimulantes recetados"
P87_15a,1,330,"Píldoras para no quedar embarazada consumidas"
P87_15b,1,331,"Píldoras para no quedar embarazada recetadas"
P87_16a,1,332,"Hormonas para la menopausia consumidas"
P87_16b,1,333,"Hormonas para la menopausia recetadas"
P87_17a,1,334,"Medicamentos para adelgazar consumidos"
P87_17b,1,335,"Medicamentos para adelgazar recetados"
P87_18a,1,336,"Medicamentos para bajar el colesterol consumidos"
P87_18b,1,337,"Medicamentos para bajar el colesterol recetados"
P87_19a,1,338,"Medicamentos para la diabetes consumidos"
P87_19b,1,339,"Medicamentos para la diabetes recetados"
P87_20a,1,340,"Medicamentos para el tiroides consumidos"
P87_20b,1,341,"Medicamentos para el tiroides recetados"
P87_21a,1,342,"Productos homeopáticos consumidos"
P87_21b,1,343,"Productos homeopáticos recetados"
P87_22a,1,344,"Productos naturistas consumidos"
P87_22b,1,345,"Productos naturistas recetados"
P87_23a,1,346,"Otros medicamentos consumidos"
P87_23b,1,347,"Otros medicamentos recetados"
Q88,1,348,"Vacunación de la gripe en la última campaña"
Q89,1,349,"Toma de tensión arterial alguna vez por un profesional sanitario"
Q90,1,350,"Tiempo que hace de la última toma de tensión arterial"
Q91,1,351,"Medición del nivel de colesterol en sangre"
Q92,1,352,"Tiempo que hace de la última medición de colesterol"
Q93,1,353,"Medición del nivel de azúcar en sangre por un profesional sanitario"
Q94,1,354,"Tiempo que hace de la última medición de azúcar en sangre"
Q95,1,355,"¿Alguna vez le han hecho una prueba de sangre oculta en heces?"
Q96,1,356,"Tiempo que hace de la última prueba de sangre oculta en heces"
Q98,1,357,"¿Le han realizado alguna vez una colonoscopia?"
Q99,1,358,"Tiempo que hace de la última colonoscopia"
Q100,1,359,"¿Alguna vez le han hecho una mamografía?"
Q101,1,360,"Tiempo que hace de la última mamografía"
Q103,1,361,"¿Alguna vez le han hecho una citología vaginal?"
Q104,1,362,"Tiempo que hace de la última citología"
R106,1,363,"Falta de asistencia médica debido a listas de espera en los últimos 12 meses"
R107,1,364,"Falta de asistencia médica debido a problemas de transporte en los últimos 12 meses"
R108_1,1,365,"Falta de atención sanitaria debido a problemas económicos en los últimos 12 meses: Atención médica"
R108_2,1,366,"Falta de atención sanitaria debido a problemas económicos en los últimos 12 meses: Atención dental"
R108_3,1,367,"Falta de atención sanitaria debido a problemas económicos en los últimos 12 meses: Algún medicamento que le habían recetado"
R108_4,1,368,"Falta de atención sanitaria debido a problemas económicos en los últimos 12 meses: Atención de salud mental"
S109,3,369,"Altura en cm (50 a 220)"
S110,3,372,"Peso en kg (25 a 180)"
T111,1,375,"Tipo de actividad física que realiza en la actividad principal"
T112,1,376,"Frecuencia con la que realiza alguna actividad física en su tiempo libre"
T113,1,377,"Forma de llegar a los sitios: Número de días en que camina al menos 10 minutos seguidos 0 a 7"
T114,1,378,"Forma de llegar a los sitios: Tiempo dedicado a caminar para desplazarse en un día habitual"
T115,1,379,"Forma de llegar a los sitios: Número de días en que utiliza la bicicleta al menos 10 minutos seguidos 0 a7"
T116,1,380,"Forma de llegar a los sitios: Tiempo empleado en la bicicleta para desplazarse en un día habitual"
T117,1,381,"Ejercicio físico en tiempo de ocio: Número de días en que practica deporte al menos 10 minutos seguidos"
T118_1,2,382,"Ejercicio físico en tiempo de ocio: Tiempo (en horas) dedicado a hacer deporte en una semana habitual 00 a 90"
T118_2,2,384,"Ejercicio físico en tiempo de ocio: Tiempo (en minutos) dedicado a hacer deporte en una semana habitual 00 a 59"
T119,1,386,"Ejercicio físico en tiempo de ocio: Número de días en que realiza actividades destinadas a fortalecer los músculos 0 a 7"
T119b_1,2,387,"Sedentarismo : tiempo que permanece sentado a lo largo de un día normal. Horas"
T119b_2,2,389,"Sedentarismo : tiempo que permanece sentado a lo largo de un día normal. Minutos"
U120_1,1,391,"Frecuencia de consumo de fruta fresca (excluyendo zumos)"
U120_1a,2,392,"Consumo de fruta fresca (excluyendo zumos): Cantidad (01 a 10)"
U120_2,1,394,"Frecuencia de consumo de carne (pollo, ternera, cerdo, cordero, etc.)"
U120_3,1,395,"Frecuencia de consumo de huevos"
U120_4,1,396,"Frecuencia de consumo de pescado"
U120_5,1,397,"Frecuencia de consumo de pasta, arroz, patatas"
U120_6,1,398,"Frecuencia de consumo de pan, cereales"
U120_7,1,399,"Frecuencia de consumo de verduras, ensaladas y hortalizas"
U120_7a,2,400,"Consumo de verduras, ensaladas y hortalizas: Cantidad 01 a 10"
U120_8,1,402,"Frecuencia de consumo de legumbres"
U120_9,1,403,"Frecuencia de consumo de embutidos y fiambres"
U120_10,1,404,"Frecuencia de consumo de productos lácteos (leche, queso, yogur)"
U120_11,1,405,"Frecuencia de consumo de dulces (galletas, bollería, mermeladas, etc.)"
U120_12,1,406,"Frecuencia de consumo de refrescos con azúcar"
U120_13,1,407,"Frecuencia de consumo de comida rápida (pollo frito, bocadillos, pizzas, hamburguesas)"
U120_14,1,408,"Frecuencia de consumo de aperitivos o comidas saladas de picar (patatas fritas, ganchitos, galletitas saladas)"
U120_15,1,409,"Frecuencia de consumo de zumo natural de frutas o verduras"
U120_15a,2,410,"Consumo de zumo natural de frutas o verduras: Cantidad 01 a 10"
U120FZ,1,412,"Frecuencia diaria de consumo de fruta fresca o zumos naturales"
